Employee_ID,Name,Department,Age,Gender,Salary,Join_Date,Performance_Score,Remote_Work,Projects_Completed
EMP-1001,Employee_1,Engineering,42,Male,115792.0,2018-01-01,5.0,False,16
EMP-1002,Employee_2,Finance,53,Non-Binary,110441.0,2018-01-06,5.0,False,10
EMP-1003,Employee_3,Marketing,44,Male,129555.0,2018-01-11,2.0,False,10
EMP-1004,Employee_4,Engineering,54,Female,118698.0,2018-01-16,3.0,False,12
EMP-1005,Employee_5,Sales,24,Female,50415.0,2018-01-21,3.0,False,9
EMP-1006,Employee_6,Sales,39,Male,81159.0,2018-01-26,2.0,True,1
EMP-1007,Employee_7,Sales,46,Male,88925.0,2018-01-31,3.0,True,5
EMP-1008,Employee_8,Finance,52,Female,50951.0,2018-02-05,4.0,True,20
EMP-1009,Employee_9,Marketing,24,Male,132388.0,2018-02-10,4.0,True,8
EMP-1010,Employee_10,Marketing,45,Female,53007.0,2018-02-15,2.0,True,11
EMP-1011,Employee_11,Sales,53,Female,86832.0,2018-02-20,4.0,False,12
EMP-1012,Employee_12,Finance,43,Female,103596.0,2018-02-25,3.0,True,1
EMP-1013,Employee_13,HR,44,Female,75523.0,2018-03-02,4.0,False,22
EMP-1014,Employee_14,Sales,23,Non-Binary,133861.0,2018-03-07,5.0,True,20
EMP-1015,Employee_15,Sales,48,Male,131740.0,2018-03-12,3.0,False,11
EMP-1016,Employee_16,Sales,23,Female,60524.0,2018-03-17,3.0,False,5
EMP-1017,Employee_17,Engineering,47,Male,64282.0,2018-03-22,4.0,False,15
EMP-1018,Employee_18,Engineering,38,Male,68930.0,2018-03-27,3.0,False,5
EMP-1019,Employee_19,Engineering,54,Male,45077.0,2018-04-01,1.0,True,12
EMP-1020,Employee_20,Engineering,30,Female,65611.0,2018-04-06,,False,5
EMP-1021,Employee_21,Marketing,50,Female,61984.0,2018-04-11,3.0,True,17
EMP-1022,Employee_22,Sales,47,Female,59060.0,2018-04-16,4.0,False,17
EMP-1023,Employee_23,Engineering,56,Female,127985.0,2018-04-21,3.0,True,24
EMP-1024,Employee_24,Engineering,46,Female,129056.0,2018-04-26,4.0,False,12
EMP-1025,Employee_25,Engineering,45,Male,88303.0,2018-05-01,3.0,False,24
EMP-1026,Employee_26,HR,34,Female,104207.0,2018-05-06,5.0,True,15
EMP-1027,Employee_27,Sales,28,Female,120046.0,2018-05-11,4.0,True,15
EMP-1028,Employee_28,Engineering,57,Female,74287.0,2018-05-16,2.0,True,6
EMP-1029,Employee_29,Engineering,41,Female,138709.0,2018-05-21,3.0,True,12
EMP-1030,Employee_30,Sales,22,Female,84711.0,2018-05-26,5.0,False,20
EMP-1031,Employee_31,Marketing,29,Female,56954.0,2018-05-31,3.0,True,18
EMP-1032,Employee_32,Sales,37,Female,118340.0,2018-06-05,2.0,True,14
EMP-1033,Employee_33,Sales,35,Female,117101.0,2018-06-10,3.0,True,2
EMP-1034,Employee_34,Finance,33,Female,116520.0,2018-06-15,3.0,False,9
EMP-1035,Employee_35,Finance,44,Male,132062.0,2018-06-20,4.0,True,5
EMP-1036,Employee_36,HR,36,Female,63574.0,2018-06-25,3.0,True,20
EMP-1037,Employee_37,Engineering,49,Female,54184.0,2018-06-30,3.0,True,1
EMP-1038,Employee_38,Sales,55,Female,64096.0,2018-07-05,3.0,False,23
EMP-1039,Employee_39,Marketing,23,Male,112728.0,2018-07-10,3.0,False,3
EMP-1040,Employee_40,Engineering,53,Female,,2018-07-15,3.0,True,6
EMP-1041,Employee_41,Sales,44,Male,,2018-07-20,2.0,True,5
EMP-1042,Employee_42,Engineering,43,Male,90558.0,2018-07-25,5.0,False,21
EMP-1043,Employee_43,Sales,46,Female,63381.0,2018-07-30,3.0,False,5
EMP-1044,Employee_44,Finance,43,Male,81455.0,2018-08-04,3.0,True,1
EMP-1045,Employee_45,Engineering,43,Male,137263.0,2018-08-09,4.0,False,17
EMP-1046,Employee_46,Marketing,27,Female,49018.0,2018-08-14,3.0,False,19
EMP-1047,Employee_47,Engineering,36,Female,56302.0,2018-08-19,4.0,True,14
EMP-1048,Employee_48,Engineering,58,Male,112506.0,2018-08-24,3.0,False,12
EMP-1049,Employee_49,Engineering,54,Male,86157.0,2018-08-29,2.0,False,10
EMP-1050,Employee_50,Sales,29,Non-Binary,99917.0,2018-09-03,3.0,False,20
EMP-1051,Employee_51,Finance,26,Female,137738.0,2018-09-08,3.0,True,21
EMP-1052,Employee_52,HR,25,Male,128122.0,2018-09-13,4.0,True,18
EMP-1053,Employee_53,Finance,27,Female,69519.0,2018-09-18,2.0,False,24
EMP-1054,Employee_54,Finance,53,Male,132487.0,2018-09-23,2.0,False,11
EMP-1055,Employee_55,Engineering,51,Male,101819.0,2018-09-28,3.0,False,2
EMP-1056,Employee_56,Finance,56,Female,125910.0,2018-10-03,3.0,False,18
EMP-1057,Employee_57,Sales,37,Female,116324.0,2018-10-08,,False,7
EMP-1058,Employee_58,Sales,34,Female,50408.0,2018-10-13,3.0,False,24
EMP-1059,Employee_59,Sales,51,Female,104379.0,2018-10-18,3.0,True,15
EMP-1060,Employee_60,Engineering,40,Female,70053.0,2018-10-23,3.0,True,11
EMP-1061,Employee_61,Engineering,38,Male,54446.0,2018-10-28,3.0,False,18
EMP-1062,Employee_62,Engineering,40,Male,45922.0,2018-11-02,4.0,True,23
EMP-1063,Employee_63,HR,49,Male,96356.0,2018-11-07,3.0,False,12
EMP-1064,Employee_64,Engineering,47,Male,55789.0,2018-11-12,4.0,True,6
EMP-1065,Employee_65,Engineering,58,Male,111656.0,2018-11-17,3.0,True,20
EMP-1066,Employee_66,Engineering,47,Male,89028.0,2018-11-22,3.0,True,23
EMP-1067,Employee_67,Sales,44,Male,109484.0,2018-11-27,5.0,False,13
EMP-1068,Employee_68,HR,30,Female,77154.0,2018-12-02,2.0,False,20
EMP-1069,Employee_69,Sales,33,Female,127870.0,2018-12-07,2.0,True,16
EMP-1070,Employee_70,Finance,22,Female,47336.0,2018-12-12,4.0,False,18
EMP-1071,Employee_71,HR,22,Female,112779.0,2018-12-17,2.0,False,10
EMP-1072,Employee_72,Sales,55,Female,64029.0,2018-12-22,4.0,False,23
EMP-1073,Employee_73,Sales,53,Female,104201.0,2018-12-27,3.0,True,8
EMP-1074,Employee_74,HR,46,Male,,2019-01-01,5.0,False,18
EMP-1075,Employee_75,Marketing,22,Male,88872.0,2019-01-06,4.0,False,21
EMP-1076,Employee_76,Marketing,37,Female,91197.0,2019-01-11,,True,1
EMP-1077,Employee_77,HR,26,Female,100180.0,2019-01-16,5.0,True,23
EMP-1078,Employee_78,Sales,43,Female,68710.0,2019-01-21,3.0,False,8
EMP-1079,Employee_79,Engineering,50,Male,,2019-01-26,5.0,False,6
EMP-1080,Employee_80,Sales,24,Female,,2019-01-31,2.0,True,5
EMP-1081,Employee_81,Finance,33,Male,116895.0,2019-02-05,3.0,False,15
EMP-1082,Employee_82,Marketing,47,Female,109435.0,2019-02-10,3.0,False,22
EMP-1083,Employee_83,Engineering,37,Male,85631.0,2019-02-15,3.0,False,15
EMP-1084,Employee_84,Sales,58,Non-Binary,65103.0,2019-02-20,2.0,False,2
EMP-1085,Employee_85,Engineering,43,Female,109772.0,2019-02-25,4.0,False,1
EMP-1086,Employee_86,Engineering,50,Male,59382.0,2019-03-02,4.0,False,23
EMP-1087,Employee_87,Marketing,35,Male,,2019-03-07,5.0,True,23
EMP-1088,Employee_88,Marketing,49,Male,48756.0,2019-03-12,2.0,True,11
EMP-1089,Employee_89,Finance,26,Female,65609.0,2019-03-17,3.0,False,10
EMP-1090,Employee_90,Engineering,51,Male,61478.0,2019-03-22,3.0,False,18
EMP-1091,Employee_91,Sales,26,Male,84666.0,2019-03-27,3.0,True,18
EMP-1092,Employee_92,Marketing,33,Male,120683.0,2019-04-01,3.0,False,17
EMP-1093,Employee_93,HR,37,Male,116315.0,2019-04-06,3.0,False,8
EMP-1094,Employee_94,Engineering,47,Male,122834.0,2019-04-11,4.0,False,15
EMP-1095,Employee_95,HR,47,Non-Binary,59153.0,2019-04-16,3.0,False,8
EMP-1096,Employee_96,Engineering,42,Male,121325.0,2019-04-21,3.0,False,17
EMP-1097,Employee_97,Engineering,57,Male,57999.0,2019-04-26,2.0,True,12
EMP-1098,Employee_98,Engineering,54,Male,100318.0,2019-05-01,2.0,True,8
EMP-1099,Employee_99,Sales,51,Female,,2019-05-06,1.0,True,14
EMP-1100,Employee_100,Sales,58,Male,121077.0,2019-05-11,5.0,True,4
EMP-1101,Employee_101,Sales,44,Male,135474.0,2019-05-16,1.0,False,1
EMP-1102,Employee_102,Marketing,31,Female,47443.0,2019-05-21,2.0,False,1
EMP-1103,Employee_103,Engineering,26,Male,120993.0,2019-05-26,3.0,True,19
EMP-1104,Employee_104,Engineering,57,Female,120916.0,2019-05-31,4.0,False,16
EMP-1105,Employee_105,Finance,55,Male,118319.0,2019-06-05,5.0,True,14
EMP-1106,Employee_106,Sales,52,Male,62368.0,2019-06-10,4.0,False,21
EMP-1107,Employee_107,Engineering,31,Male,,2019-06-15,3.0,False,16
EMP-1108,Employee_108,HR,40,Female,101942.0,2019-06-20,3.0,True,5
EMP-1109,Employee_109,Sales,53,Male,136751.0,2019-06-25,2.0,False,9
EMP-1110,Employee_110,Sales,22,Male,72306.0,2019-06-30,5.0,True,2
EMP-1111,Employee_111,Engineering,26,Female,130451.0,2019-07-05,4.0,False,18
